birthday,id,partner,role_id,phone_number,address,email,first_name,id_card,last_name,password
2001-03-20,100,true,1,603603604,"Calle Olvidada, 2",pruebastudent1@gmail.com,Alessandro,123123124X,Nuzzi Herrero,abcde1
2000-01-11,101,false,1,603603605,"Calle Falsa, 3",pruebastudent2@gmail.com,Laura,123123125Y,González Pérez,abcde2
1999-12-22,102,true,1,603603606,"Calle Verdadera, 4",pruebastudent3@gmail.com,Carlos,123123126Z,Nuzzi Herrero,abcde3
2002-05-15,103,false,1,603603607,"Calle Nueva, 5",pruebastudent4@gmail.com,María,123123127A,López Torres,abcde4
2000-07-30,104,true,1,603603608,"Calle Vieja, 6",pruebastudent5@gmail.com,Juan,123123128B,Martínez García,abcde5
1998-10-25,105,false,1,603603609,"Calle Real, 7",pruebastudent6@gmail.com,Ana,123123129C,Nuzzi Herrero,abcde6
2003-06-12,106,true,1,603603610,"Calle Secundaria, 8",pruebastudent7@gmail.com,David,123123130D,Pérez López,abcde7
2001-08-09,107,false,1,603603611,"Calle Principal, 9",pruebastudent8@gmail.com,Sofía,123123131E,García Fernández,abcde8
2000-04-19,108,true,1,603603612,"Calle Oculta, 10",pruebastudent9@gmail.com,Daniel,123123132F,Nuzzi Herrero,abcde9
1997-11-05,109,false,1,603603613,"Calle Desconocida, 11",pruebastudent10@gmail.com,Isabel,123123133G,Martínez López,abcde10
1996-03-28,110,true,1,603603614,"Calle Sorpresa, 12",pruebastudent11@gmail.com,José,123123134H,Núñez Herrero,abcde11
1995-07-17,111,false,1,603603615,"Calle Noche, 13",pruebastudent12@gmail.com,Clara,123123135I,Pérez García,abcde12
1994-12-05,112,true,1,603603616,"Calle Tarde, 14",pruebastudent13@gmail.com,Fernando,123123136J,Nuzzi Herrero,abcde13
1993-09-21,113,false,1,603603617,"Calle Sol, 15",pruebastudent14@gmail.com,Martín,123123137K,López Torres,abcde14
2002-01-01,114,true,1,603603618,"Calle Luna, 16",pruebastudent15@gmail.com,Elena,123123138L,Núñez Fernández,abcde15
1992-02-14,115,false,1,603603619,"Calle Cielo, 17",pruebastudent16@gmail.com,Hugo,123123139M,García Pérez,abcde16
1991-03-30,116,true,1,603603620,"Calle Tierra, 18",pruebastudent17@gmail.com,Inés,123123140N,Nuzzi Herrero,abcde17
1990-06-22,117,false,1,603603621,"Calle Agua, 19",pruebastudent18@gmail.com,Pablo,123123141O,Núñez López,abcde18
1989-05-10,118,true,1,603603622,"Calle Fría, 20",pruebastudent19@gmail.com,Lucía,123123142P,Martínez Torres,abcde19
1988-04-08,119,false,1,603603623,"Calle Calor, 21",pruebastudent20@gmail.com,Diego,123123143Q,López Nuzzi,abcde20
1987-08-15,120,true,1,603603624,"Calle Viento, 22",pruebastudent21@gmail.com,Raúl,123123144R,García Nuzzi,abcde21
1986-07-19,121,false,1,603603625,"Calle Flor, 23",pruebastudent22@gmail.com,Sara,123123145S,López Martínez,abcde22
1985-02-27,122,true,1,603603626,"Calle Estrella, 24",pruebastudent23@gmail.com,Cristian,123123146T,Núñez Herrero,abcde23
1984-11-03,123,false,1,603603627,"Calle Llama, 25",pruebastudent24@gmail.com,Valeria,123123147U,García López,abcde24
1983-01-01,124,true,1,603603628,"Calle Serpiente, 26",pruebastudent25@gmail.com,Gabriel,123123148V,Nuzzi Herrero,abcde25
1982-09-12,125,false,1,603603629,"Calle Cangrejo, 27",pruebastudent26@gmail.com,Patricia,123123149W,Núñez Fernández,abcde26
1981-06-30,126,true,1,603603630,"Calle Zorro, 28",pruebastudent27@gmail.com,Óscar,123123150X,García Nuzzi,abcde27
1980-10-14,127,false,1,603603631,"Calle Búho, 29",pruebastudent28@gmail.com,Verónica,123123151Y,Martínez López,abcde28
1979-02-03,128,true,1,603603632,"Calle León, 30",pruebastudent29@gmail.com,Fernando,123123152Z,López Nuzzi,abcde29
1978-12-12,129,false,1,603603633,"Calle Mariposa, 31",pruebastudent30@gmail.com,Nora,123123153A,González Torres,abcde30
1977-09-28,130,true,1,603603634,"Calle Perro, 32",pruebastudent31@gmail.com,Héctor,123123154B,Núñez Herrero,abcde31
1976-05-21,131,false,1,603603635,"Calle Gato, 33",pruebastudent32@gmail.com,Rosa,123123155C,Pérez Nuzzi,abcde32
1975-03-14,132,true,1,603603636,"Calle Tigre, 34",pruebastudent33@gmail.com,Alberto,123123156D,García Fernández,abcde33
1974-11-30,133,false,1,603603637,"Calle Búho, 35",pruebastudent34@gmail.com,Lidia,123123157E,López Torres,abcde34
1973-08-05,134,true,1,603603638,"Calle Pájaro, 36",pruebastudent35@gmail.com,Elián,123123158F,Núñez Herrero,abcde35
1972-04-18,135,false,1,603603639,"Calle Araña, 37",pruebastudent36@gmail.com,Luciana,123123159G,Martínez Nuzzi,abcde36
1971-06-26,136,true,1,603603640,"Calle Pájaro, 38",pruebastudent37@gmail.com,Emilio,123123160H,García López,abcde37
1970-10-23,137,false,1,603603641,"Calle Mar, 39",pruebastudent38@gmail.com,Lourdes,123123161I,Núñez Herrero,abcde38
